id,movie_name,time,year,nation,director,company,grade,actor1,actor2,actor3,poster_url,link_url,user_rating,genre_id
418,엣지 오브 투모로우,113,20140604,미국,더그 라이만,워너브러더스 코리아(주),12세이상관람가,199,639,929,https://ssl.pstatic.net/imgmovie/mdi/mit110/0905/90589_P52_110051.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=90589,8.94,13
419,창문 넘어 도망친 100세 노인,114,20140618,스웨덴,플렉스 할그렌,(주)영화사 빅,15세이상관람가,302,640,930,https://ssl.pstatic.net/imgmovie/mdi/mit110/1230/123050_P10_152036.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=123050,7.82,14
420,그레이스 오브 모나코,102,20140618,프랑스,올리비에 다한,(주)쇼박스,12세이상관람가,34,641,931,https://ssl.pstatic.net/imgmovie/mdi/mit110/0941/94133_P37_132050.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=94133,8.04,4
421,미녀와 야수,113,20140618,프랑스,크리스토프 갱스,(주)넥스트엔터테인먼트월드(NEW),전체관람가,303,571,,https://ssl.pstatic.net/imgmovie/mdi/mit110/1368/136872_P12_113639.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=136872,8.79,17
422,황제를 위하여,104,20140611,한국,박상준,오퍼스픽쳐스(유),청소년관람불가,304,266,932,https://ssl.pstatic.net/imgmovie/mdi/mit110/1189/118909_P32_114714.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=118909,6.06,13
423,그레이트 뷰티,140,20140612,이탈리아,파올로 소렌티노,(주)영화사 진진,청소년관람불가,305,,,https://ssl.pstatic.net/imgmovie/mdi/mit110/1040/104072_P18_115646.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=104072,7.91,4
424,신의 한 수,117,20140703,한국,조범구,(주)메이스엔터테인먼트,청소년관람불가,106,345,29,https://ssl.pstatic.net/imgmovie/mdi/mit110/1073/107373_P38_105115.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=107373,8.03,8
425,그녀,126,20140522,미국,스파이크 존즈,주식회사 더쿱,청소년관람불가,30,362,529,https://ssl.pstatic.net/imgmovie/mdi/mit110/1796/179627_P01_141251.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=179627,8.5,4
426,메이즈 러너,113,20140918,미국,웨스 볼,이십세기폭스코리아(주),12세이상관람가,306,642,933,https://ssl.pstatic.net/imgmovie/mdi/mit110/1772/177221_P01_135940.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=177221,5,13
427,비긴 어게인,103,20140813,미국,존 카니,판씨네마(주),15세이상관람가,81,193,934,https://ssl.pstatic.net/imgmovie/mdi/mit110/1346/134641_P01_164508.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=134641,10,5
