movie_code,movie_name,time,year,nation,director,company,grade,genre1,genre2,genre3,actor1,actor2,actor3
20070047,뷰티풀 선데이,117,20070329,한국,진광교,시네라인투(주),청소년관람불가,스릴러,,,박용우,남궁민,김응수
20070029,블랙북,134,20070329,네덜란드,폴 버호벤,(주)프라임엔터테인먼트,청소년관람불가,드라마,스릴러,전쟁,세바스티안 코치,캐리스 밴 허슨,
20060282,브레이크 업 : 이별후애(愛),105,20070322,미국,페이튼 리드,유니버셜 픽쳐스,15세관람가,코미디,멜로/로맨스,,제니퍼 애니스턴,빈스 본,
20070034,그 여자 작사 그 남자 작곡,103,20070228,미국,마크 로렌스,캐슬 락 엔터테인먼트,12세이상관람가,멜로/로맨스,드라마,,휴 그랜트,드류 베리모어,
20070102,빼꼼의 머그잔 여행,76,20070322,한국,임아론,(합)알지애니메이션스튜디오,전체관람가,드라마,어드벤처,,이선,박상호,김태균
20070066,수,122,20070322,한국,최양일,(주)트리쯔클럽 ,청소년관람불가,액션,,,지진희,강성연,최정우
20070061,트랜스포머,135,20070628,미국,마이클 베이,드림웍스픽쳐스,12세이상관람가,SF,액션,어드벤처,샤이아 라보프,메간 폭스,
20070205,검은 집,103,20070621,한국,신태라,씨제이엔터테인먼트,청소년관람불가,스릴러,미스터리,공포(호러),김혜정,황정민,유선
20070116,슈렉3,92,20070606,미국,크리스 밀러,드림웍스 애니메이션,전체관람가,애니메이션,코미디,어드벤처,카메론 디아즈,마이크 마이어스,
20070058,오션스 써틴,121,20070614,미국,스티븐 소더버그,워너브러더스 코리아(주),12세이상관람가,범죄,드라마,코미디,조지 클루니,브래드 피트,맷 데이먼
20070057,캐리비안의 해적: 세상의 끝에서,168,20070523,미국,고어 버빈스키,제리 브룩하이머 필름,12세이상관람가,액션,코미디,어드벤처,조니 뎁,올랜도 블룸,
20070198,4.4.4,94,20070620,미국,롤랑 조페,(주)쇼박스,청소년관람불가,범죄,공포(호러),스릴러,엘리샤 커스버트,다니엘 길리스,
20070128,황진이,141,20070606,한국,장윤현,(주)씨네이천,15세이상관람가,드라마,멜로/로맨스,,송혜교,유지태,류승룡
20070115,밀양,141,20070523,한국,이창동,파인하우스필름(주),15세이상관람가,드라마,,,전도연,송강호,조영진
20060263,씨노이블,84,20070628,미국,그레고리 다크,(주)미로비젼,청소년관람불가,공포(호러),,,케인,크리스티나 비달,
