movie_name,time,year,nation,director,company,grade,genres,actors,poster_url,link_url,user_rating
레디 플레이어 원,139,20180328,미국,스티븐 스필버그,워너브러더스 코리아(주),12세이상관람가,"['액션', 'SF', '어드벤처']","['마크 라이런스', '사이먼 페그', '올리비아 쿡']",https://ssl.pstatic.net/imgmovie/mdi/mit110/1368/136898_P05_175007.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=136898,8.53
지금 만나러 갑니다,131,20180314,한국,이장훈,(주)무비락,12세이상관람가,['멜로/로맨스'],"['소지섭', '손예진', '김지환']",https://ssl.pstatic.net/imgmovie/mdi/mit110/1682/168298_P26_135156.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=168298,8.72
7년의 밤,123,20180328,한국,추창민,(주)바른손,15세이상관람가,"['스릴러', '드라마']","['류승룡', '장동건', '송새벽']",https://ssl.pstatic.net/imgmovie/mdi/mit110/0855/85578_P34_170453.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=85578,4.80
퍼시픽 림: 업라이징,110,20180321,미국,스티븐 S. 드나이트,유니버설픽쳐스인터내셔널 코리아(유),15세이상관람가,"['액션', '어드벤처', 'SF']","['존 보예가', '스콧 이스트우드', '케일리 스패니']",https://ssl.pstatic.net/imgmovie/mdi/mit110/1254/125494_P16_164850.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=125494,6.70
미니특공대X,67,20180322,한국,이영준,(주)삼지애니메이션,전체관람가,['애니메이션'],"['엄상현', '전태열', '이소영']",https://ssl.pstatic.net/imgmovie/mdi/mit110/1714/171440_P01_175936.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=171440,7.60
콜 미 바이 유어 네임,131,20180322,이탈리아,루카 구아다니노,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,청소년관람불가,"['드라마', '멜로/로맨스']","['티모시 샬라메', '아미 해머', '마이클 스털버그']",https://ssl.pstatic.net/imgmovie/mdi/mit110/1588/158885_P27_113537.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=158885,7.75
막달라 마리아: 부활의 증인,119,20180328,영국,가스 데이비스,유니버설픽쳐스인터내셔널 코리아(유),12세이상관람가,['드라마'],"['루니 마라', '호아킨 피닉스', '치웨텔 에지오포']",https://ssl.pstatic.net/imgmovie/mdi/mit110/1506/150658_P10_144557.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=150658,7.02
소공녀,106,20180322,한국,전고운,광화문시네마,15세이상관람가,"['멜로/로맨스', '드라마']","['이솜', '안재홍', '이고운']",https://ssl.pstatic.net/imgmovie/mdi/mit110/1717/171752_P03_132035.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=171752,8.57
리틀 포레스트,103,20180228,한국,임순례,(주)영화사수박,전체관람가,['드라마'],"['김태리', '류준열', '문소리']",https://ssl.pstatic.net/imgmovie/mdi/mit110/1544/154449_P27_141613.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=154449,8.77
마녀,125,20180627,한국,박훈정,(주)영화사 금월,15세이상관람가,"['미스터리', '액션']","['김다미', '조민수', '박희순']",https://ssl.pstatic.net/imgmovie/mdi/mit110/1753/175322_P98_135944.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=175322,8.19
탐정: 리턴즈,116,20180613,한국,이언희,(주)크리픽쳐스,15세이상관람가,"['코미디', '범죄']","['권상우', '성동일', '이광수']",https://ssl.pstatic.net/imgmovie/mdi/mit110/1598/159892_P42_111355.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=159892,8.40
쥬라기 월드: 폴른 킹덤,127,20180606,미국,후안 안토니오 바요나,유니버설픽쳐스인터내셔널 코리아(유),12세이상관람가,"['액션', '어드벤처', 'SF']","['크리스 프랫', '브라이스 달라스 하워드', '제프 골드블럼']",https://ssl.pstatic.net/imgmovie/mdi/mit110/1542/154285_P41_135031.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=154285,8.01
허스토리,120,20180627,한국,민규동,(주)수필름,12세이상관람가,['드라마'],"['김희애', '김해숙', '예수정']",https://ssl.pstatic.net/imgmovie/mdi/mit110/1677/167787_P31_113629.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=167787,9.27
오션스8,110,20180613,미국,게리 로스,워너브러더스 코리아(주),12세이상관람가,"['액션', '범죄']","['산드라 블록', '케이트 블란쳇', '앤 해서웨이']",https://ssl.pstatic.net/imgmovie/mdi/mit110/1536/153675_P08_114501.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=153675,7.63
시카리오: 데이 오브 솔다도,122,20180627,미국,스테파노 솔리마,㈜코리아스크린,15세이상관람가,"['액션', '범죄', '드라마']","['조슈 브롤린', '베니치오 델 토로', '이사벨라 모너']",https://ssl.pstatic.net/imgmovie/mdi/mit110/1526/152680_P03_101446.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=152680,8.42
빅샤크: 매직체인지,73,20180627,중국,헤 질리,와이드 릴리즈(주),전체관람가,['애니메이션'],"['이제인', '장병관', '김사라']",https://ssl.pstatic.net/imgmovie/mdi/mit110/1753/175365_P12_104946.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=175365,7.02
미드나잇 선,91,20180621,미국,스콧 스피어,씨네그루(주)키다리이엔티,12세이상관람가,['멜로/로맨스'],"['벨라 손', '패트릭 슈왈제네거', '롭 리글']",https://ssl.pstatic.net/imgmovie/mdi/mit110/1434/143416_P10_111257.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=143416,8.79
